month,carrier,carrier_name,airport,airport_name
8,AA,American Airlines Inc.,SDF,"Louisville, KY: Louisville Muhammad Ali International"
8,AA,American Airlines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International"
8,AA,American Airlines Inc.,SFO,"San Francisco, CA: San Francisco International"
8,AA,American Airlines Inc.,SJC,"San Jose, CA: Norman Y. Mineta San Jose International"
8,AA,American Airlines Inc.,SJU,"San Juan, PR: Luis Munoz Marin International"
8,AA,American Airlines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International"
8,AA,American Airlines Inc.,SMF,"Sacramento, CA: Sacramento International"
8,AA,American Airlines Inc.,SNA,"Santa Ana, CA: John Wayne Airport-Orange County"
8,AA,American Airlines Inc.,SRQ,"Sarasota/Bradenton, FL: Sarasota/Bradenton International"
8,AA,American Airlines Inc.,STL,"St. Louis, MO: St Louis Lambert International"
8,AA,American Airlines Inc.,STT,"Charlotte Amalie, VI: Cyril E King"
8,AA,American Airlines Inc.,STX,"Christiansted, VI: Henry E. Rohlsen"
8,AA,American Airlines Inc.,SYR,"Syracuse, NY: Syracuse Hancock International"
8,AA,American Airlines Inc.,TPA,"Tampa, FL: Tampa International"
8,AA,American Airlines Inc.,TUL,"Tulsa, OK: Tulsa International"
8,AA,American Airlines Inc.,TUS,"Tucson, AZ: Tucson International"
8,AA,American Airlines Inc.,TVC,"Traverse City, MI: Cherry Capital"
8,AA,American Airlines Inc.,TYS,"Knoxville, TN: McGhee Tyson"
8,AA,American Airlines Inc.,VPS,"Valparaiso, FL: Eglin AFB Destin Fort Walton Beach"
8,AA,American Airlines Inc.,XNA,"Fayetteville, AR: Northwest Arkansas National"
8,AS,Alaska Airlines Inc.,ABQ,"Albuquerque, NM: Albuquerque International Sunport"
8,AS,Alaska Airlines Inc.,ADK,"Adak Island, AK: Adak"
8,AS,Alaska Airlines Inc.,ADQ,"Kodiak, AK: Kodiak Airport"
8,AS,Alaska Airlines Inc.,AKN,"King Salmon, AK: King Salmon Airport"
8,AS,Alaska Airlines Inc.,ANC,"Anchorage, AK: Ted Stevens Anchorage International"
8,AS,Alaska Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International"
8,AS,Alaska Airlines Inc.,AUS,"Austin, TX: Austin - Bergstrom International"
8,AS,Alaska Airlines Inc.,BET,"Bethel, AK: Bethel Airport"
8,AS,Alaska Airlines Inc.,BNA,"Nashville, TN: Nashville International"
8,AS,Alaska Airlines Inc.,BOI,"Boise, ID: Boise Air Terminal"
8,AS,Alaska Airlines Inc.,BOS,"Boston, MA: Logan International"
8,AS,Alaska Airlines Inc.,BRW,"Barrow, AK: Wiley Post/Will Rogers Memorial"
8,AS,Alaska Airlines Inc.,BUR,"Burbank, CA: Bob Hope"
8,AS,Alaska Airlines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall"
8,AS,Alaska Airlines Inc.,BZN,"Bozeman, MT: Bozeman Yellowstone International"
8,AS,Alaska Airlines Inc.,CDV,"Cordova, AK: Merle K Mudhole Smith"
8,AS,Alaska Airlines Inc.,CHS,"Charleston, SC: Charleston AFB/International"
8,AS,Alaska Airlines Inc.,CLE,"Cleveland, OH: Cleveland-Hopkins International"
8,AS,Alaska Airlines Inc.,CMH,"Columbus, OH: John Glenn Columbus International"
8,AS,Alaska Airlines Inc.,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International"
8,AS,Alaska Airlines Inc.,DAL,"Dallas, TX: Dallas Love Field"
8,AS,Alaska Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National"
